Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate
1,Air Terjun Madakaripura,"Air terjun dengan pemandangan spektakuler di kaki Gunung Bromo, terkenal dengan suasana mistis dan dikelilingi tebing tinggi.",Alam,Probolinggo,20000,5,2 jam,"-7.9129,112.9117"
2,Pantai Duta,"Pantai dengan pasir putih, area konservasi mangrove, dan cocok untuk kegiatan edukasi lingkungan.",Pantai,Probolinggo,10000,5,1.5 jam,"-7.7391,113.2693"
3,Gunung Argapura,"Gunung dengan trek pendakian panjang, memiliki pemandangan savana dan lautan awan yang memukau.",Gunung,Probolinggo,15000,5,4 jam,"-7.96434,113.56643"
4,Danau Desa Ranu Agung,"Danau alami di tengah desa dengan suasana tenang, ideal untuk rekreasi keluarga.",Danau,Probolinggo,5000,4,1 jam,"-7.9765,113.3318"
5,Pantai Bentar,Pantai dengan dermaga panjang dan tempat observasi hiu tutul yang sering terlihat di sekitar perairan.,Pantai,Probolinggo,15000,5,30 menit,"-7.7989,113.2467"
6,Air Terjun Umbulan,"Air terjun alami yang terletak di pegunungan, menawarkan pengalaman menyegarkan dengan suasana hutan tropis.",Air Terjun,Probolinggo,10000,4,1.5 jam,"-7.9338,113.2883"
7,Tirto Ageng,Wisata air alami dengan kolam renang tradisional yang dikelilingi pepohonan rindang.,Alam,Probolinggo,5000,4,1 jam,"-7.9442,113.3358"
8,Candi Jabung,Candi peninggalan Majapahit dengan arsitektur unik dan nilai sejarah yang tinggi.,Sejarah,Probolinggo,10000,5,1 jam,"-7.7231,113.2732"
9,Gembok Cinta BJBR,"Spot romantis di kawasan wisata BJBR Probolinggo, tempat memasang gembok cinta simbol kebersamaan.",Kota,Probolinggo,25000,5,15 menit,"-7.7414,113.2115"
10,Taman Wisata Study Lingkungan,Taman edukasi lingkungan dengan berbagai aktivitas interaktif untuk anak-anak dan dewasa.,Taman,Probolinggo,15000,4,20 menit,"-7.7501,113.2202"
11,Ranu Segaran,Danau alami dengan pemandangan pegunungan dan aktivitas memancing tradisional.,Danau,Probolinggo,10000,4,1 jam,"-7.9668,113.3600"
12,Sungai Pekalen,Tempat arung jeram terkenal dengan jeram-jeram menantang dan pemandangan alam spektakuler.,Petualangan,Probolinggo,300000,5,1.5 jam,"-7.9110,113.3385"
13,Museum DR. Mohammad Saleh,"Museum yang menampilkan koleksi sejarah dan budaya lokal Probolinggo, termasuk peninggalan Dr. Mohammad Saleh.",Sejarah,Probolinggo,5000,4,15 menit,"-7.7561,113.2176"
14,Seruni Point,Spot foto terbaik untuk melihat matahari terbit dengan latar belakang Gunung Bromo.,Gunung,Probolinggo,30000,5,2 jam,"-7.9369,112.9529"
15,Gunung Bromo,"Gunung berapi aktif yang sangat populer, terkenal dengan pemandangan kawahnya yang dramatis.",Gunung,Probolinggo,250000,5,2 jam,"-7.9415,112.953"
16,Gili Ketapang,"Pulau kecil dengan snorkeling dan diving, menawarkan keindahan bawah laut yang menakjubkan.",Pantai,Probolinggo,100000,5,1 jam (perahu),"-7.7327,113.2301"
17,Utama Raya Beach,"Pantai dengan fasilitas modern seperti restoran, area bermain anak, dan tempat berjemur.",Pantai,Probolinggo,25000,5,30 menit,"-7.8214,113.2235"
18,Gereja Merah,Gereja peninggalan kolonial dengan arsitektur khas dan suasana historis yang menarik.,Sejarah,Probolinggo,0,4,15 menit,"-7.7542,113.2178"
19,Klenteng Sumber Naga,"Klenteng kuno yang masih aktif digunakan untuk ibadah, dengan ornamen tradisional yang indah.",Budaya,Probolinggo,0,4,15 menit,"-7.7565,113.2181"
20,Air terjun purba tirai bidadari,Air terjun eksotis dengan formasi bebatuan purba yang memancarkan nuansa magis.,Air Terjun,Probolinggo,10000,5,1.5 jam,"-7.9243,113.3124"
21,Air terjun jaran goyang,Air terjun kecil dengan mitos lokal tentang kuda yang diyakini membawa keberuntungan.,Air Terjun,Probolinggo,5000,4,1.5 jam,"-7.9175,113.3031"
22,Air terjun kali pedati,"Air terjun tersembunyi di tengah hutan, menawarkan suasana alami yang tenang.",Air Terjun,Probolinggo,5000,4,1 jam,"-7.9304,113.2999"
23,Pantai Bohay,"Pantai santai dengan spot memancing, cocok untuk liburan keluarga atau piknik.",Pantai,Probolinggo,10000,4,1 jam,"-7.7395,113.2702"
24,Danau Taman Hidup,"Danau alami di kawasan Gunung Argopuro, sering digunakan sebagai tempat berkemah dan menikmati keindahan alam.",Danau,Probolinggo,5000,5,4 jam,"-7.9738,113.5703"
